epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.5,0.1923076923076923,0.5757575757575758,[0.         0.73076923 1.        ],[0.         0.53846154 1.        ],47,2,nd-laplace-optimal-truncated
0.5,0.26923076923076916,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],48,2,nd-laplace-optimal-truncated
0.5,0.15384615384615385,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],49,2,nd-laplace-optimal-truncated
0.7,0.11538461538461531,0.5428571428571428,[0.         0.73076923 1.        ],[0.         0.61538462 1.        ],0,2,nd-laplace-optimal-truncated
0.7,0.1923076923076924,0.5714285714285714,[0.         0.76923077 1.        ],[0.         0.57692308 1.        ],1,2,nd-laplace-optimal-truncated
0.7,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],2,2,nd-laplace-optimal-truncated
0.7,0.3076923076923077,0.6538461538461539,[0.         0.65384615 1.        ],[0.         0.34615385 1.        ],3,2,nd-laplace-optimal-truncated
0.7,0.11538461538461531,0.5348837209302326,[0.         0.88461538 1.        ],[0.         0.76923077 1.        ],4,2,nd-laplace-optimal-truncated
0.7,0.15384615384615385,0.5666666666666668,[0.         0.65384615 1.        ],[0.  0.5 1. ],5,2,nd-laplace-optimal-truncated
0.7,-0.038461538461538436,0.48148148148148157,[0.  0.5 1. ],[0.         0.53846154 1.        ],6,2,nd-laplace-optimal-truncated
0.7,0.46153846153846156,0.7142857142857142,[0.         0.76923077 1.        ],[0.         0.30769231 1.        ],7,2,nd-laplace-optimal-truncated
0.7,0.23076923076923073,0.6363636363636364,[0.         0.53846154 1.        ],[0.         0.30769231 1.        ],8,2,nd-laplace-optimal-truncated
0.7,0.34615384615384615,0.6666666666666667,[0.         0.69230769 1.        ],[0.         0.34615385 1.        ],9,2,nd-laplace-optimal-truncated
0.7,0.34615384615384615,0.6666666666666667,[0.         0.69230769 1.        ],[0.         0.34615385 1.        ],10,2,nd-laplace-optimal-truncated
0.7,0.2692307692307693,0.6060606060606061,[0.         0.76923077 1.        ],[0.  0.5 1. ],11,2,nd-laplace-optimal-truncated
0.7,0.23076923076923078,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],12,2,nd-laplace-optimal-truncated
0.7,0.4230769230769231,0.6666666666666667,[0.         0.84615385 1.        ],[0.         0.42307692 1.        ],13,2,nd-laplace-optimal-truncated
0.7,0.1923076923076923,0.5862068965517241,[0.         0.65384615 1.        ],[0.         0.46153846 1.        ],14,2,nd-laplace-optimal-truncated
0.7,0.23076923076923073,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],15,2,nd-laplace-optimal-truncated
0.7,0.2692307692307693,0.6060606060606061,[0.         0.76923077 1.        ],[0.  0.5 1. ],16,2,nd-laplace-optimal-truncated
0.7,0.2692307692307692,0.6296296296296295,[0.         0.65384615 1.        ],[0.         0.38461538 1.        ],17,2,nd-laplace-optimal-truncated
0.7,0.38461538461538464,0.7083333333333333,[0.         0.65384615 1.        ],[0.         0.26923077 1.        ],18,2,nd-laplace-optimal-truncated
0.7,0.15384615384615385,0.5625,[0.         0.69230769 1.        ],[0.         0.53846154 1.        ],19,2,nd-laplace-optimal-truncated
0.7,0.0,0.5,[0.         0.42307692 1.        ],[0.         0.42307692 1.        ],20,2,nd-laplace-optimal-truncated
0.7,0.23076923076923084,0.5882352941176471,[0.         0.76923077 1.        ],[0.         0.53846154 1.        ],21,2,nd-laplace-optimal-truncated
0.7,0.03846153846153849,0.5217391304347827,[0.         0.46153846 1.        ],[0.         0.42307692 1.        ],22,2,nd-laplace-optimal-truncated
0.7,0.11538461538461536,0.5652173913043479,[0.  0.5 1. ],[0.         0.38461538 1.        ],23,2,nd-laplace-optimal-truncated
0.7,0.26923076923076916,0.6521739130434783,[0.         0.57692308 1.        ],[0.         0.30769231 1.        ],24,2,nd-laplace-optimal-truncated
0.7,0.15384615384615385,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],25,2,nd-laplace-optimal-truncated
0.7,0.038461538461538436,0.5151515151515151,[0.         0.65384615 1.        ],[0.         0.61538462 1.        ],26,2,nd-laplace-optimal-truncated
0.7,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],27,2,nd-laplace-optimal-truncated
0.7,0.5384615384615384,0.85,[0.         0.65384615 1.        ],[0.         0.11538462 1.        ],28,2,nd-laplace-optimal-truncated
0.7,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],29,2,nd-laplace-optimal-truncated
0.7,-0.03846153846153855,0.48717948717948717,[0.         0.73076923 1.        ],[0.         0.76923077 1.        ],30,2,nd-laplace-optimal-truncated
0.7,0.4615384615384615,0.6875,[0.         0.84615385 1.        ],[0.         0.38461538 1.        ],31,2,nd-laplace-optimal-truncated
0.7,0.4230769230769231,0.8666666666666667,[0.  0.5 1. ],[0.         0.07692308 1.        ],32,2,nd-laplace-optimal-truncated
0.7,0.423076923076923,0.7037037037037037,[0.         0.73076923 1.        ],[0.         0.30769231 1.        ],33,2,nd-laplace-optimal-truncated
0.7,0.5769230769230769,0.7777777777777777,[0.         0.80769231 1.        ],[0.         0.23076923 1.        ],34,2,nd-laplace-optimal-truncated
0.7,0.07692307692307693,0.5555555555555556,[0.         0.38461538 1.        ],[0.         0.30769231 1.        ],35,2,nd-laplace-optimal-truncated
0.7,0.3076923076923077,0.6666666666666666,[0.         0.61538462 1.        ],[0.         0.30769231 1.        ],36,2,nd-laplace-optimal-truncated
0.7,0.15384615384615385,0.5526315789473684,[0.         0.80769231 1.        ],[0.         0.65384615 1.        ],37,2,nd-laplace-optimal-truncated
0.7,0.26923076923076916,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],38,2,nd-laplace-optimal-truncated
0.7,0.1538461538461538,0.5769230769230769,[0.         0.57692308 1.        ],[0.         0.42307692 1.        ],39,2,nd-laplace-optimal-truncated
0.7,0.07692307692307698,0.53125,[0.         0.65384615 1.        ],[0.         0.57692308 1.        ],40,2,nd-laplace-optimal-truncated
